,,S_ID,Sender,SMS,CLASS
Psy,39,z13ce52jzwfitrkup23din4ojputijen3,Eugene Kalinin,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1
Psy,40,z13phfyxhovav1hl122bf5iidumufzbel,Cody Tolleson,YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1
Psy,41,z13xytyybsypw34yv04cc33xkke1grugh2w,cake cat,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1
Psy,42,z13vsbcjwrybe3hsf23sgvnxfr3zxnion04,World327RS,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1
Psy,43,z12jvnua2tifirkvk23cfjtpxwmgxfch004,Didier Drogba,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1
Psy,44,z13stv3brxe1snv2i225fnvganneudej004,MFkin PRXPHETZ,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1
Psy,45,z12ktfsarrv0wdj3p22ifbxz3zn2fthhw04,Dave X,....subscribe......  ......to my........  .....channel.......﻿,1
Psy,46,z121znjjloycwtjf2233dfo5esfggn3lj,crestpee,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0
Psy,47,z125zbmwryjwxzx4504cfjzwbtztuvkif3c,Leonardo Baptista,"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",1
Psy,48,z12stpyqaonsercxw04cjbr4dlnrxd34soo0k,Phuc Ly,go here to check the views :3﻿,0
Psy,49,z13nvr2xayrwffsio04cj3zwyuf3vb1imdg,Milan George,thumbs up if u checked this video to see hw views it got﻿,0
Psy,50,z13uzhdomzvbffvwa04cgplq2zewfz2hm2k,Kirsty Brown,Plz subscribe to my channel and I will subscribe back xx﻿,1
Psy,51,z13ucxa51rnftvu2j22if5oihq2qipjlp,Kochos,i check back often to help reach 2x10^9 views and I avoid watching Baby﻿,0
Psy,52,z120grixiomvyvbga04cfl24csz5jf4zzuc0k,eSkiip,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.﻿,0
Psy,53,z13gevgohyzktbztz22mcrcpntfxvpvan04,Wumrogue lite,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1
Psy,54,z12gy5tb2kase1nix04cipry3mf1wh5grko0k,Ruddy Tapia,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1
Psy,55,z13hxl3yoqmlvdlnu23atlqgsoyevlsse,Artsi,Pls follow this channel!! http://www.twitch.tv/sevadus﻿,1
Psy,56,z12gv5qoconqsbe0h221wljgmwe4v1nmu,ProsGamerOnly,hi guys check my youtube channel﻿,1
Psy,57,z13eepr4dyjet34pt04cgr1rctvwsvqwqso0k,JP Jochem,Subscribe and like to me for more how to videos on minecraft!﻿,1
Psy,58,z121st5w5k3ui1veg22zirn4gkr5tby2v,Jdidk Loma,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1
Psy,59,z13osnp4hnzry1o15224yfzbotr0epxqk04,BaconBro HD,Subscribe ME!﻿,1
Psy,60,z12rgllzmwnfuba4h04ch3njgy2fg3ryerg0k,Eanna Cusack,Im just to check how much views it has﻿,0
Psy,61,z12rc1ebfvrmufz5w04ccl2pmt3ih5dymq40k,fastestghost,The first comment is chuck norrus ovbiously :D﻿,0
Psy,62,z13mcpkzpoz1hj3o304cfd3oouf2tj1rnk40k,StuntmanGaming,Behold the most viewed youtube video in the history of ever﻿,0
Psy,63,z121cnnzhsybzjkt122nsviacsekvvt1r,Master Chief,when is this gonna hit 2 billion?﻿,0
Psy,64,z125gx4g5wemgtyvr23ryvlrbxjvwl2mi,David Bell,the most viewed youtube video of all time?﻿,0
Psy,65,z12lzbu4iymmvjgj004cdjaonunljbjwwo00k,virgie natividad,"969,210 dislikes like dislike themselves﻿",0
Psy,66,z13kvvkixzvadn5ii04chnnbsvn3w1pq5dk,asd ad,psy=korean﻿,0
Psy,67,z13zz3cjwmztcni0p23ug3vb0pasfvzqc04,Dymetex,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" ﻿",0
Psy,68,z12ifxrbkmaechwtt22jwryqmoaefhipf04,MrTuizentfloot,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.﻿",0
Psy,69,LZQPQhLyRh_hbykd_Xw4oDROJbJTFrs-UbSB2xk8gRk,OREOGAM3R,It's been back for quite a while now.,0
Psy,70,LZQPQhLyRh9U7Lv_DKpJ7lawpBCotxfgHzBy93Tk028,LEONARDO CAETANO,2 Billions in 2014,0
Psy,71,z12eexphzo2uslizg04cirmywyzjdnm5gqc0k,fab life,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!﻿,1
Psy,72,z124fn5ahqnfdbxtg23ihlijyqjqtr1lk,Oh 1080s,Sub my channel!﻿,1
Psy,73,z12lubwrvv35zpzub23ywxbbiuawjbalc,Ariel Baptista,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
Psy,74,z13osfxhtkfmwpxue234z3wimzmcs1k2x,Stefano Albanese,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ ﻿,1
Psy,75,z12tcdxa5k3bsvtqh04ccnaqusj1vvfju3s,Salim Tayara,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.﻿",1
Psy,76,z13gsp34uumcdje4q04civk54zr4wr0gxjc,Lucky D.,http://hackfbaccountlive.com/?ref=4604617﻿,1
Psy,77,z123e1gg3zyuf30ox04cdtbzgmaby3ehjc0,Lucas Trigo,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! ﻿",1
Psy,78,z13ezz5zsz3pyhyip04cibtpwwbdejzrmlk0k,TheHariiiii,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------﻿,1
